Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
2732,7.40,0.17,0.29,1.40,0.05,23.00,107.00,0.99,3.52,0.65,10.40,6,White Wine
2607,5.30,0.31,0.38,10.50,0.03,53.00,140.00,0.99,3.34,0.46,11.70,6,White Wine
1653,4.70,0.14,0.29,1.00,0.04,35.00,90.00,0.99,3.76,0.49,11.30,6,White Wine
3264,6.90,0.26,0.29,4.20,0.04,33.00,114.00,0.99,3.16,0.31,12.50,6,White Wine
4931,6.40,0.45,0.07,1.10,0.03,10.00,131.00,0.99,2.97,0.28,10.80,5,White Wine
4859,8.40,0.32,0.35,11.70,0.03,3.00,46.00,0.99,3.02,0.34,11.80,6,White Wine
5827,7.40,0.30,0.22,5.25,0.05,33.00,180.00,0.99,3.13,0.45,11.60,6,White Wine
1033,7.00,0.32,0.29,7.60,0.03,35.00,124.00,0.99,3.15,0.65,12.80,7,White Wine
4373,6.70,0.46,0.27,5.20,0.04,35.00,96.00,0.99,3.16,0.44,12.40,7,White Wine
5874,6.40,0.25,0.30,5.50,0.04,15.00,129.00,0.99,3.14,0.49,9.60,6,White Wine
5924,6.00,0.51,0.00,2.10,0.06,40.00,54.00,0.99,3.54,0.93,10.70,6,Red Wine
3468,7.80,0.30,0.29,16.85,0.05,23.00,135.00,1.00,3.16,0.38,9.00,6,White Wine
6458,6.70,0.31,0.31,9.90,0.04,10.00,175.00,1.00,3.46,0.55,11.40,4,White Wine
705,6.80,0.69,0.00,5.60,0.12,21.00,58.00,1.00,3.46,0.72,10.20,5,Red Wine
2599,7.30,0.48,0.32,2.10,0.06,31.00,54.00,1.00,3.30,0.65,10.00,7,Red Wine
2135,6.90,0.33,0.26,5.00,0.03,46.00,143.00,0.99,3.25,0.43,11.20,7,White Wine
2222,6.20,0.36,0.24,2.20,0.10,19.00,42.00,0.99,3.57,0.57,11.70,6,Red Wine
2897,7.10,0.38,0.40,2.20,0.04,54.00,201.00,0.99,3.03,0.50,11.40,5,White Wine
1701,9.30,0.66,0.26,2.00,0.10,5.00,35.00,1.00,3.25,0.42,9.60,5,Red Wine
537,7.80,0.25,0.34,13.70,0.04,66.00,184.00,1.00,3.22,0.75,8.90,5,White Wine
2893,7.40,0.19,0.30,12.80,0.05,48.50,229.00,1.00,3.14,0.49,9.10,7,White Wine
6216,6.50,0.22,0.19,1.10,0.06,36.00,191.00,0.99,3.05,0.50,9.50,6,White Wine
6036,8.10,0.66,0.70,2.20,0.10,25.00,129.00,1.00,3.08,0.53,9.00,5,Red Wine
2163,7.80,0.31,0.40,1.60,0.03,20.00,87.00,0.99,3.15,0.48,11.90,6,White Wine
5072,6.60,0.30,0.24,1.20,0.03,17.00,121.00,0.99,3.13,0.36,9.20,5,White Wine
4851,6.80,0.65,0.02,2.10,0.08,8.00,15.00,0.99,3.35,0.62,10.40,6,Red Wine
2046,6.10,0.59,0.01,2.10,0.06,5.00,13.00,0.99,3.52,0.56,11.40,5,Red Wine
1871,7.10,0.65,0.18,1.80,0.07,13.00,40.00,1.00,3.44,0.60,9.10,5,Red Wine
2496,6.40,0.35,0.28,1.10,0.06,9.00,160.00,0.99,3.42,0.50,9.10,7,White Wine
99,7.00,0.36,0.35,2.50,0.05,67.00,161.00,0.99,3.05,0.56,11.10,6,White Wine
2008,5.40,0.46,0.15,2.10,0.03,29.00,130.00,0.99,3.39,0.77,13.40,8,White Wine
755,7.20,0.38,0.30,1.80,0.07,31.00,70.00,1.00,3.42,0.59,9.50,6,Red Wine
797,7.40,0.16,0.30,13.70,0.06,33.00,168.00,1.00,2.90,0.44,8.70,7,White Wine
659,6.20,0.37,0.24,6.10,0.03,19.00,86.00,0.99,3.04,0.26,13.40,8,White Wine
3219,7.00,0.23,0.32,1.80,0.05,25.00,113.00,0.99,3.11,0.47,11.10,6,White Wine
423,7.40,0.79,0.19,5.20,0.09,19.00,98.00,1.00,3.16,0.52,9.57,6,Red Wine
3337,6.00,0.28,0.24,17.80,0.05,42.00,111.00,1.00,3.10,0.45,8.90,6,White Wine
2745,8.40,0.62,0.12,1.80,0.07,38.00,46.00,1.00,3.38,0.89,11.80,6,Red Wine
4735,9.60,0.38,0.42,1.90,0.07,5.00,13.00,1.00,3.15,0.75,10.50,6,Red Wine
544,5.90,0.62,0.28,3.50,0.04,55.00,152.00,0.99,3.44,0.44,12.00,6,White Wine
714,6.90,0.29,0.30,8.20,0.03,35.00,112.00,0.99,3.00,0.37,12.30,6,White Wine
2292,7.60,0.35,0.46,14.70,0.05,33.00,151.00,1.00,3.03,0.53,10.30,5,White Wine
151,6.70,0.28,0.14,1.40,0.04,64.00,159.00,0.99,3.17,0.39,10.00,5,White Wine
2723,8.20,0.64,0.27,2.00,0.10,5.00,77.00,1.00,3.13,0.62,9.10,6,Red Wine
3531,6.10,0.33,0.32,7.80,0.05,52.00,183.00,1.00,3.39,0.65,9.50,5,White Wine
2930,6.60,0.17,0.35,2.60,0.03,33.00,78.00,0.99,3.22,0.72,11.30,6,White Wine
1207,8.30,0.26,0.41,9.20,0.04,41.00,162.00,0.99,3.10,0.38,12.00,7,White Wine
6172,6.50,0.23,0.36,16.30,0.04,43.00,133.00,1.00,3.26,0.41,8.80,5,White Wine
802,6.80,0.47,0.08,2.20,0.06,18.00,38.00,1.00,3.30,0.65,9.60,6,Red Wine
2176,7.10,0.26,0.32,14.45,0.07,29.00,107.00,1.00,2.96,0.42,9.20,6,White Wine
1956,4.90,0.34,0.34,1.00,0.07,32.00,143.00,0.99,3.24,0.40,10.10,5,White Wine
6021,6.80,0.64,0.00,2.70,0.12,15.00,33.00,1.00,3.44,0.63,11.30,6,Red Wine
3622,7.60,0.95,0.03,2.00,0.09,7.00,20.00,1.00,3.20,0.56,9.60,5,Red Wine
3560,9.80,0.42,0.48,9.85,0.03,5.00,110.00,1.00,2.87,0.29,10.00,5,White Wine
756,8.30,0.26,0.31,2.00,0.03,14.00,141.00,0.99,2.95,0.77,12.20,6,White Wine
4369,6.40,0.38,0.14,2.20,0.04,15.00,25.00,1.00,3.44,0.65,11.10,6,Red Wine
6479,7.60,0.31,0.29,10.50,0.04,21.00,145.00,1.00,3.04,0.35,9.40,5,White Wine
4484,10.40,0.55,0.23,2.70,0.09,18.00,48.00,1.00,3.22,0.64,10.30,6,Red Wine
1641,7.50,0.42,0.31,1.60,0.08,15.00,42.00,1.00,3.31,0.64,9.00,5,Red Wine
3114,7.40,0.19,0.31,14.50,0.04,39.00,193.00,1.00,3.10,0.50,9.20,6,White Wine
5562,7.20,0.08,0.49,1.30,0.05,18.00,148.00,0.99,3.46,0.44,10.20,6,White Wine
4984,6.10,0.24,0.26,1.70,0.03,61.00,134.00,0.99,3.19,0.81,11.90,7,White Wine
4353,7.60,0.38,0.28,4.20,0.03,7.00,112.00,0.99,3.00,0.41,12.60,6,White Wine
5441,6.00,0.19,0.37,9.70,0.03,17.00,50.00,0.99,3.08,0.66,12.00,6,White Wine
4071,6.80,0.64,0.10,2.10,0.09,18.00,101.00,1.00,3.34,0.52,10.20,5,Red Wine
4009,6.70,0.40,0.22,8.80,0.05,24.00,113.00,1.00,3.22,0.45,9.40,5,White Wine
2105,7.30,0.21,0.49,1.80,0.04,44.00,152.00,0.99,3.32,0.44,12.60,7,White Wine
6435,8.80,0.37,0.48,2.10,0.10,39.00,145.00,1.00,3.04,1.03,9.30,5,Red Wine
3942,6.80,0.30,0.27,11.60,0.03,22.00,97.00,0.99,2.96,0.38,11.70,6,White Wine
3191,6.70,0.50,0.36,11.50,0.10,18.00,92.00,1.00,3.11,0.49,9.60,5,White Wine
430,9.30,0.20,0.33,1.70,0.05,28.00,178.00,1.00,3.16,0.43,9.00,4,White Wine
4187,8.20,0.26,0.44,1.30,0.05,7.00,69.00,0.99,3.14,0.62,10.20,4,White Wine
6016,6.60,0.20,0.14,4.40,0.18,35.00,168.00,0.99,2.93,0.45,9.40,6,White Wine
2446,7.40,0.49,0.27,2.10,0.07,14.00,25.00,0.99,3.35,0.63,12.00,6,Red Wine
2659,8.60,0.37,0.70,12.15,0.04,21.00,158.00,1.00,3.00,0.73,9.30,6,White Wine
1589,7.20,0.21,0.36,15.70,0.04,68.00,183.00,1.00,3.25,0.76,9.40,5,White Wine
2956,6.50,0.30,0.32,2.00,0.04,34.00,90.00,0.99,3.37,0.68,11.00,7,White Wine
2681,5.80,0.27,0.27,12.30,0.04,55.00,170.00,1.00,3.28,0.42,9.30,6,White Wine
4180,6.60,0.19,0.99,1.20,0.12,45.00,129.00,0.99,3.09,0.31,8.70,6,White Wine
2251,6.00,0.27,0.31,5.00,0.04,54.00,170.00,0.99,3.28,0.52,11.00,6,White Wine
4420,7.70,0.58,0.01,1.80,0.09,12.00,18.00,1.00,3.32,0.56,10.50,7,Red Wine
4870,15.60,0.69,0.76,3.70,0.10,6.00,43.00,1.00,2.95,0.68,11.20,7,Red Wine
1071,7.80,0.70,0.06,1.90,0.08,20.00,35.00,1.00,3.40,0.69,10.90,5,Red Wine
6132,6.50,0.29,0.31,1.70,0.04,24.00,79.00,0.99,3.27,0.69,11.40,7,White Wine
5251,7.40,0.24,0.26,1.60,0.06,53.00,150.00,0.99,3.18,0.50,9.90,7,White Wine
5068,6.60,0.84,0.03,2.30,0.06,32.00,48.00,1.00,3.52,0.56,12.30,7,Red Wine
