cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
219,0,0,3,0.633,381,11,0.943,1
303,0,0,9,0.215,391,11,0.888,1
315,0,0,10,0.108,399,11,0.888,1
282,0,0,10,0.286,414,11,0.888,1
320,0,0,10,0.092,415,11,0.888,1
283,0,0,10,0.323,385,11,0.888,1
338,0,0,3,0.223,401,11,0.943,1
268,0,0,9,0.148,400,11,0.943,1
317,0,0,3,0.04,403,11,0.888,1
272,0,0,9,0.243,380,11,0.943,1
412,0,0,3,0.079,407,11,0.943,1
348,0,0,3,0.056,401,11,0.888,1
257,0,0,3,0.585,373,11,0.943,1
345,0,0,9,0.171,391,11,0.943,1
330,0,0,9,0.132,405,11,0.943,1
321,0,0,3,0.164,392,11,0.943,1
259,0,0,10,0.243,380,11,0.943,1
287,0,0,9,0.251,374,11,0.943,1
397,0,0,10,0.537,399,11,0.943,1
311,0,0,9,0.172,389,11,0.943,1
255,0,0,9,0.621,383,11,0.943,1
296,0,0,10,0.079,394,11,0.888,1
267,0,0,10,0.263,397,11,0.943,1
334,0,0,3,0.127,380,11,0.943,1
249,0,0,9,0.271,385,11,0.943,1
242,0,0,9,0.195,376,11,0.943,1
325,0,0,3,0.291,377,11,0.943,1
288,0,0,3,0.239,393,11,0.888,1
290,0,0,9,0.335,380,11,0.943,1
342,0,0,9,0.291,390,11,0.888,1
294,0,0,9,0.115,384,11,0.943,1
306,0,0,10,0.45,411,11,0.888,1
355,0,0,3,0.051,410,11,0.943,1
200,0,0,3,0.557,374,11,0.943,1
268,0,0,3,0.116,411,11,0.888,1
316,0,0,3,0.036,393,11,0.943,1
303,0,0,10,0.039,382,11,0.888,1
357,0,0,3,0.088,389,11,0.888,1
335,0,0,3,0.318,419,11,0.943,1
307,0,0,9,0.211,390,11,0.888,1
224,0,0,3,0.263,362,11,0.943,1
289,0,0,3,0.347,370,11,0.888,1
241,0,0,9,0.056,394,11,0.943,1
249,0,0,3,0.032,415,11,0.943,1
303,0,0,10,0.168,393,11,0.943,1
268,0,0,10,0.179,383,11,0.888,1
275,0,0,3,0.187,379,11,0.888,1
289,0,0,9,0.422,387,11,0.943,1
217,0,0,10,0.087,400,11,0.943,1
316,0,0,10,0.052,391,11,0.943,1
326,0,0,10,0.278,398,11,0.943,1
276,0,0,3,0.359,379,11,0.943,1
272,0,0,10,0.02,406,11,0.888,1
306,0,0,10,0.071,390,11,0.888,1
288,0,0,10,0.183,385,11,0.888,1
437,0,0,3,0.409,417,11,0.888,1
349,0,0,9,0.067,389,11,0.943,1
256,0,0,10,0.027,411,11,0.943,1
226,0,0,10,0.299,405,11,0.888,1
274,0,0,9,0.466,380,11,0.943,1
368,0,0,10,0.148,412,11,0.888,1
362,0,0,9,0.218,382,11,0.943,1
347,0,0,10,0.461,410,11,0.943,1
272,0,0,3,0.131,393,11,0.888,1
353,0,0,10,0.124,392,11,0.888,1
299,0,0,3,0.104,384,11,0.888,1
300,0,0,3,0.152,412,11,0.943,1
291,0,0,10,0.355,394,11,0.888,1
343,0,0,10,0.282,417,11,0.943,1
250,0,0,9,0.112,373,11,0.888,1
304,0,0,10,0.131,409,11,0.943,1
292,0,0,3,0.024,403,11,0.943,1
355,0,0,9,0.66,425,11,0.888,1
404,0,0,10,0.433,429,11,0.888,1
328,0,0,9,0.044,404,11,0.943,1
304,0,0,10,0.068,390,11,0.943,1
310,0,0,3,0.179,401,11,0.888,1
264,0,0,9,0.446,367,11,0.888,1
307,0,0,9,0.251,385,11,0.888,1
289,0,0,9,0.394,387,11,0.943,1
323,0,0,3,0.203,386,11,0.943,1
