Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395.000,610.291,208.178,173.889,1.197,0.550,28715.000,190.141,0.764,0.989,0.958,0.913,0.007,0.003,0.834,0.999,SEKER
28734.000,638.018,200.525,182.734,1.097,0.412,29172.000,191.273,0.784,0.985,0.887,0.954,0.007,0.004,0.910,0.998,SEKER
29380.000,624.110,212.826,175.931,1.210,0.563,29690.000,193.411,0.778,0.990,0.948,0.909,0.007,0.003,0.826,0.999,SEKER
30008.000,645.884,210.558,182.517,1.154,0.499,30724.000,195.467,0.783,0.977,0.904,0.928,0.007,0.003,0.862,0.994,SEKER
30140.000,620.134,201.848,190.279,1.061,0.334,30417.000,195.897,0.773,0.991,0.985,0.971,0.007,0.004,0.942,0.999,SEKER
30279.000,634.927,212.561,181.510,1.171,0.520,30600.000,196.348,0.776,0.990,0.944,0.924,0.007,0.003,0.853,0.999,SEKER
30477.000,670.033,211.050,184.039,1.147,0.489,30970.000,196.989,0.762,0.984,0.853,0.933,0.007,0.003,0.871,0.999,SEKER
30519.000,629.727,212.997,182.737,1.166,0.514,30847.000,197.124,0.771,0.989,0.967,0.925,0.007,0.003,0.857,0.998,SEKER
30685.000,635.681,213.534,183.157,1.166,0.514,31044.000,197.660,0.772,0.988,0.954,0.926,0.007,0.003,0.857,0.999,SEKER
30834.000,631.934,217.228,180.897,1.201,0.554,31120.000,198.139,0.784,0.991,0.970,0.912,0.007,0.003,0.832,0.999,SEKER
30917.000,640.765,213.560,184.440,1.158,0.504,31280.000,198.406,0.771,0.988,0.946,0.929,0.007,0.003,0.863,0.999,SEKER
31091.000,638.558,210.486,188.327,1.118,0.447,31458.000,198.963,0.786,0.988,0.958,0.945,0.007,0.003,0.894,0.999,SEKER
31107.000,640.594,214.649,184.969,1.160,0.507,31423.000,199.014,0.761,0.990,0.953,0.927,0.007,0.003,0.860,0.998,SEKER
31158.000,642.626,216.485,183.644,1.179,0.530,31492.000,199.177,0.799,0.989,0.948,0.920,0.007,0.003,0.847,0.998,SEKER
31158.000,641.105,212.067,187.193,1.133,0.470,31474.000,199.177,0.781,0.990,0.953,0.939,0.007,0.003,0.882,0.999,SEKER
31178.000,636.888,212.976,186.562,1.142,0.482,31520.000,199.241,0.764,0.989,0.966,0.936,0.007,0.003,0.875,0.999,SEKER
31202.000,644.454,215.641,184.472,1.169,0.518,31573.000,199.318,0.779,0.988,0.944,0.924,0.007,0.003,0.854,0.999,SEKER
31203.000,639.782,215.068,184.875,1.163,0.511,31558.000,199.321,0.763,0.989,0.958,0.927,0.007,0.003,0.859,0.999,SEKER
31272.000,638.666,212.450,187.536,1.133,0.470,31593.000,199.541,0.770,0.990,0.963,0.939,0.007,0.003,0.882,0.999,SEKER
31335.000,635.011,216.790,184.163,1.177,0.528,31599.000,199.742,0.774,0.992,0.977,0.921,0.007,0.003,0.849,0.999,SEKER
31374.000,636.401,219.865,182.009,1.208,0.561,31604.000,199.867,0.769,0.993,0.973,0.909,0.007,0.003,0.826,0.998,SEKER
31530.000,638.857,213.786,188.066,1.137,0.476,31791.000,200.363,0.769,0.992,0.971,0.937,0.007,0.003,0.878,0.998,SEKER
31573.000,674.103,217.307,185.448,1.172,0.521,32197.000,200.499,0.757,0.981,0.873,0.923,0.007,0.003,0.851,0.998,SEKER
31637.000,656.711,229.719,175.510,1.309,0.645,32045.000,200.702,0.762,0.987,0.922,0.874,0.007,0.003,0.763,0.999,SEKER
31675.000,657.431,236.753,171.211,1.383,0.691,32009.000,200.823,0.741,0.990,0.921,0.848,0.007,0.002,0.720,0.995,SEKER
31682.000,646.721,210.046,192.248,1.093,0.403,32026.000,200.845,0.773,0.989,0.952,0.956,0.007,0.003,0.914,0.999,SEKER
31703.000,656.305,215.709,187.272,1.152,0.496,32093.000,200.912,0.777,0.988,0.925,0.931,0.007,0.003,0.868,0.999,SEKER
31748.000,641.826,219.777,184.115,1.194,0.546,32020.000,201.054,0.776,0.992,0.968,0.915,0.007,0.003,0.837,0.999,SEKER
31768.000,650.954,220.959,183.292,1.206,0.558,32173.000,201.118,0.778,0.987,0.942,0.910,0.007,0.003,0.828,0.999,SEKER
31811.000,642.092,223.985,180.917,1.238,0.590,32052.000,201.254,0.774,0.992,0.970,0.899,0.007,0.003,0.807,1.000,SEKER
31821.000,649.681,213.736,189.969,1.125,0.458,32168.000,201.285,0.772,0.989,0.947,0.942,0.007,0.003,0.887,0.998,SEKER
31823.000,662.532,222.873,181.895,1.225,0.578,32274.000,201.292,0.775,0.986,0.911,0.903,0.007,0.003,0.816,0.999,SEKER
31837.000,656.404,224.913,180.439,1.246,0.597,32238.000,201.336,0.785,0.988,0.929,0.895,0.007,0.003,0.801,0.999,SEKER
31915.000,640.718,216.320,188.065,1.150,0.494,32184.000,201.582,0.778,0.992,0.977,0.932,0.007,0.003,0.868,0.999,SEKER
31972.000,639.974,213.687,190.645,1.121,0.452,32246.000,201.762,0.772,0.992,0.981,0.944,0.007,0.003,0.892,0.999,SEKER
31992.000,640.338,212.887,191.487,1.112,0.437,32258.000,201.825,0.774,0.992,0.980,0.948,0.007,0.003,0.899,0.999,SEKER
